evidence_record_id,study_reference_id,within_study_evidence_no,author_year,title,evidence_location,evidence_source_original,evidence_source_category,pathway_level_1_original,pathway_level_1_category,pathway_level_2_original,pathway_level_2_corrected_original,climate_factor_original,pathogen,amr_outcome_original,mechanism_chain_original,original_quote,evidence_type_original,evidence_type_category,mechanism_support_original,mechanism_support_category,effect_direction_original,effect_direction_category,time_scale_original,time_scale_category,spatial_context_original,spatial_context_category,extraction_date
EVID_002-M1,2,1,Eber (2011),Seasonal and Temperature-Associated Increases in Gram-Negative Bacterial Bloodstream Infections among Hospitalized Patients,Discussion-p.4-para.3,1-Results实验数据,Results,3-生态社会介导,Socio-ecological mediation,3a-疾病负担,3b-人用抗生素（感染增加）,温度-季节平均温度变化,Acinetobacter spp; P.aeruginosa ;K. pneumoniae,临床感染率上升,夏季温度升高 →  耐药革兰阴性菌血流感染频率↑（耐药表型相关临床感染率上升）,"Table 3 also shows adjusted associations of temperature and
bacterial BSI frequencies separately within each season. In winter,
spring, and fall, higher temperature was positively and significantly
associated with infections caused by each Gram-negative organism
examined and by S. aureus. In summer, higher temperature was
positively and significantly associated with infections caused by
each Gram-negative pathogen except E. coli.",2-观察性数据,Observational,2-间接数据支持,Indirect empirical support,1-促进AMR,Promoting AMR,2-观察累积,Observational cumulative/seasonal,4-宿主体内,Within host / clinical,2025-12-25
EVID_002-M1,2,1,Eber (2011),Seasonal and Temperature-Associated Increases in Gram-Negative Bacterial Bloodstream Infections among Hospitalized Patients,Discussion-p.4-para.3,3-Discussion数据解释,Discussion interpretation,1-直接生物学效应,Direct biological mechanisms,1a-生长代谢,1a-生长代谢,温度-季节平均温度变化,Acinetobacter spp; P.aeruginosa ;K. pneumoniae,临床感染率上升,温度升高 → 环境中革兰阴性菌生长↑、人群定植/暴露机会↑ → 耐药革兰阴性菌血流感染频率↑（耐药表型相关临床感染率上升）,"There are several potential explanations for the observed
association of Gram-negative BSI frequency with outdoor
temperature levels. First, higher temperatures may facilitate
increased growth of bacteria in the environment, which may, in
turn, increase colonization of humans [3,14]. ",5-理论推测,Theoretical/projection,3-理论推测,Theoretical support,1-促进AMR,Promoting AMR,2-观察累积,Observational cumulative/seasonal,5-未明确,Mixed or unspecified,2025-12-25
EVID_002-M2,2,2,Eber (2011),Seasonal and Temperature-Associated Increases in Gram-Negative Bacterial Bloodstream Infections among Hospitalized Patients,Discussion-p.4-para.3,3-Discussion数据解释,Discussion interpretation,1-直接生物学效应,Direct biological mechanisms,1a-生长代谢,1a-生长代谢,温度-季节平均温度变化,Acinetobacter spp; P.aeruginosa ;K. pneumoniae,临床感染率上升,温度升高 →革兰阴性菌毒力↑ → 温暖时期耐药革兰阴性菌血流相关临床感染率上升↑," Second, evidence
suggests that elevated temperatures may be associated with
increased virulence of Gram-negative bacteria [17,18]. The lipid
A moiety of lipopolysaccharide, which forms the outer monolayer
of the outermost membrane of most Gram-negative bacteria, is
regulated by environmental conditions and is known to modulate
virulence in Gram-negative organisms [17,18]. Thus, it is possible
that temperature may modulate the virulence of Gram-negative
bacteria, contributing to increases in infection incidence in warmer
periods.",5-理论推测,Theoretical/projection,3-理论推测,Theoretical support,1-促进AMR,Promoting AMR,2-观察累积,Observational cumulative/seasonal,5-未明确,Mixed or unspecified,2025-12-25
EVID_004-M1,4,1,Sahoo (2014),Climatic Factors and Community—Associated Methicillin-Resistant Staphylococcus aureus Skin and Soft-Tissue Infections—A Time-Series Analysis Study,Results-p.7-para.2,1-Results实验数据,Results,4-宿主易感性,Host susceptibility pathways,1a-生长代谢,4a-免疫与屏障功能,综合-多因子,MRSA,临床感染率上升,周均最高温>33°C且相对湿度55%–78% →  社区相关MRSA皮肤软组织感染病例数↑（临床感染率上升）,"…MRSA… significantly increased together with the weekly average maximum temperature when above 33 °C (coef. 0.57, p = 0.044)… (p.8)；""…maximum temperature above 33 °C… coinciding with a relative humidity between 55% and 78% is a favorable condition for… MRSA infections."" (p.10)",2-观察性数据,Observational,2-间接数据支持,Indirect empirical support,1-促进AMR,Promoting AMR,2-观察累积,Observational cumulative/seasonal,4-宿主体内,Within host / clinical,2025-12-25
EVID_004-M1,4,1,Sahoo (2014),Climatic Factors and Community—Associated Methicillin-Resistant Staphylococcus aureus Skin and Soft-Tissue Infections—A Time-Series Analysis Study,Discussion-p.8-para.3,2-Results+Discussion整合,Results and discussion integration,1-直接生物学效应,Direct biological mechanisms,4c-并发症,4a-免疫与屏障功能,综合-多因子,MRSA,临床感染率上升,周均最高温>33°C且相对湿度55%–78%是有利组合 → 出汗/皮肤角质层水合↑、有利于S.aureus在皮肤生长定植并促进人际传播 → 社区相关MRSA皮肤软组织感染病例数↑（临床感染率上升）,"The colonization of S. aureus increases with
hydration of the stratum corneum of the skin [27]. The process of hydration peaks when both
environmental temperature and relative humidity are high, which promote sweat production [8,9].",5-理论推测,Theoretical/projection,3-理论推测,Theoretical support,1-促进AMR,Promoting AMR,4-未明确,Conceptual or unclear,4-宿主体内,Within host / clinical,2025-12-25
EVID_004-M2,4,2,Sahoo (2014),Climatic Factors and Community—Associated Methicillin-Resistant Staphylococcus aureus Skin and Soft-Tissue Infections—A Time-Series Analysis Study,Discussion-p.9-para.3,4-Discussion理论推测,Discussion theoretical interpretation,4-宿主易感性,Host susceptibility pathways,2f-其他环境介导,4a-免疫与屏障功能,综合-多因子,MRSA,临床感染率上升,高温和高湿度 → 过度拥挤的地方（人群密度高） → 大量汗水，耐药细菌繁殖增加 ,"In countries like India, socio-behavioral environmental factors accentuate the effect of climatic factors on bacterial survival and colonization contributing to increased risk of infections at increased temperatures. These factors, amongst others, can be for example, (a) places of overcrowding, which accentuate the effect of high temperature and humidity resulting in profuse sweating creating favorable condition for proliferation of bacteria;",5-理论推测,Theoretical/projection,3-理论推测,Theoretical support,1-促进AMR,Promoting AMR,4-未明确,Conceptual or unclear,5-未明确,Mixed or unspecified,2025-12-25
EVID_004-M2,4,2,Sahoo (2014),Climatic Factors and Community—Associated Methicillin-Resistant Staphylococcus aureus Skin and Soft-Tissue Infections—A Time-Series Analysis Study,Discussion-p.9-para.3,4-Discussion理论推测,Discussion theoretical interpretation,3-生态社会介导,Socio-ecological mediation,2c-基础设施破坏,3g-其他社会介导-社会经济脆弱性,综合-多因子,MRSA,临床感染率上升,高温和高湿度 → 基础设施条件差 → 感染风险增加,"; (b) limited water availability that results in poor hygiene,
a consequence of which is perpetuation of infections and also transmission of them to others and;",5-理论推测,Theoretical/projection,3-理论推测,Theoretical support,1-促进AMR,Promoting AMR,4-未明确,Conceptual or unclear,5-未明确,Mixed or unspecified,2025-12-25
EVID_004-M2,4,2,Sahoo (2014),Climatic Factors and Community—Associated Methicillin-Resistant Staphylococcus aureus Skin and Soft-Tissue Infections—A Time-Series Analysis Study,Discussion-p.9-para.3,4-Discussion理论推测,Discussion theoretical interpretation,3-生态社会介导,Socio-ecological mediation,3c-兽用抗生素,3c-兽用抗生素,综合-多因子,MRSA,临床感染率上升,高温和高湿度 → 牲畜相关的MRSA在人类接触中发生 → 人群中的耐药细菌繁殖可能增加（但机制尚不完全明确）,"To this can also be added a fact that livestock are an integral part of the household environment in rural India. Livestock associated MRSA occurring in human contacts, is a potential public health problem, the magnitude and implications of which have not been fully understood in India [34]. ",5-理论推测,Theoretical/projection,3-理论推测,Theoretical support,1-促进AMR,Promoting AMR,4-未明确,Conceptual or unclear,5-未明确,Mixed or unspecified,2025-12-25
EVID_005-M1,5,1,Blancoet al. (2017),Effect of meteorological factors and geographic location on methicillin-resistant Staphylococcus aureus and vancomycin-resistant enterococci colonization in the US,Results-p.9-para.5,1-Results实验数据,Results,3-生态社会介导,Socio-ecological mediation,4c-并发症,3b-人用抗生素（感染增加）,湿度-升高,MRSA；VRE,耐药菌定植率上升,相对湿度升高→MRSA定植率上升,"For MRSA, only relative humidity remained significant in this multivariate model (Table 3). For every 1% increase ofrelative humidity, there was approximately a 0.9% increase in MRSA colonization when controlling for the other meteorological variables (p = 0.010). For VRE, only relative humidity approached significance in this multivariate model
(Table 4). For every 1% increase ofrelative humidity, there was approximately a 0.8% increase in VRE colonization when controlling for the other meteorological variables (p = 0.064).",2-观察性数据,Observational,2-间接数据支持,Indirect empirical support,1-促进AMR,Promoting AMR,2-观察累积,Observational cumulative/seasonal,4-宿主体内,Within host / clinical,2025-12-25
EVID_005-M2,5,2,Blancoet al. (2017),Effect of meteorological factors and geographic location on methicillin-resistant Staphylococcus aureus and vancomycin-resistant enterococci colonization in the US,Discussion-p.10-para.1,1-Results实验数据,Results,1-直接生物学效应,Direct biological mechanisms,1a-生长代谢,可删除,其他-纬度,MRSA；VRE,耐药菌定植率上升,纬度降低（更偏南）→MRSA定植增加→MRSA定植率上升,"For MRSA and VRE, a 10% increase in relative humidity led to an 8–9% increase in prevalence rate. Furthermore, we observed a stronger effect ofgeographical location on colonization. Interestingly, the direction ofthis association varied by pathogen. The closer to the equator, the higher the observed MRSA colonization but the lower the observed VRE colonization.",2-观察性数据,Observational,2-间接数据支持,Indirect empirical support,3-双向作用,Bidirectional or mixed,2-观察累积,Observational cumulative/seasonal,4-宿主体内,Within host / clinical,2025-12-25
